MCTFS Baseline Standard Change Audit (BSCA)
Job:,TC77BSCA
Run Date:,20260629

*
* Report Selection Criteria:
* ==========================
*
* Current Production
* Production History
* Date Range From:2026-03-01
*            To  :2026-05-31
*
* Type       :
* Name       :
* Lasp Op    :
* Appl       :MTFS
* OwnApplGrp :
* Stream     :TFSFOS
* Level      :
* User       :
* Checkout   :
* Env        :
* Release    :
* Workref    :
*

TEST CRITERIA
1. Requirement for the change was documented under a valid work type
2. Proper authorization to make the modification was documented in Jira
3. Evidence of change was documented in Jira Sub-Task
4. Test was performed and accepted demonstrating this modification aligned with requirements
5. Overall project was approved to release to production
6. Release container for the change has two different people approve the release to production

"NOTE: Report has been sorted for optimal audit steps. Sort by DATE, TIME ASC to put in order that was used for random selection."

SELECTED,APPL,TYPE,NAME,VER,ACTION,RELEASE,DATE,TIME,PATH,JIRA #,WORK TYPE,TEST 1,TEST 2,TEST 3,TEST 4,TEST 5,TEST 6,NOTES
Y,MTFS,COB,TK0TP150,6,,PTR0003156,2026-03-16,12:47:13,DBFA,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,T33PPDA,4,C,PTR0003185,2026-03-16,06:31:15,DBFA,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,X7047Z09,3,D,PTR0003186,2026-04-08,11:20:31,DBFA,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,X7047Z42,2,D,PTR0003186,2026-04-08,11:20:34,DBFA,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,X7047Z76,5,D,PTR0003186,2026-04-08,11:20:42,DBFA,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,SYS,S7047CW9,1,,PTR0003186,2026-04-08,11:21:00,DBFA,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,SYS,S7047CWB,1,,PTR0003186,2026-04-08,11:21:01,DBFA,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,CMAP,TBLMREV,4,,PTR0003186,2026-04-08,11:21:15,DBFA,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,CMAP,TBLMSMM,5,,PTR0003186,2026-04-08,11:21:16,DBFA,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,TBLPCFMM,35,,PTR0003186,2026-05-07,10:36:18,DBFA,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,JCL,TC7047SR,2,,PTR0003197,2026-04-08,11:28:25,DBFA,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,TBLPATM1,40,,PTR0003200,2026-04-03,12:03:10,DR2B,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,XK105500,1,,PTR0003240,2026-04-29,12:45:00,DBFA,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,TK1TFELG,8,,PTR0003270,2026-05-15,10:51:24,DBFA,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,TRSPRM07,18,C,SR00000090,2026-04-22,04:46:41,DR1A,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,T7033785,7,,SR00000090,2026-04-22,04:48:24,DR1A,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
